subject,session,run,n_all_four_class_trials,n_left_right_before_rejection,n_source_artifact_flags_all_classes,n_left_right_flagged,n_left_right_rejected,n_left_right_kept,n_left_kept,n_right_kept,n_times_per_epoch,n_eeg_channels,sampling_rate_hz
4,0train,3,48,24,6,3,0,24,12,12,750,22,250.0
4,0train,4,48,24,9,4,0,24,12,12,750,22,250.0
4,0train,5,48,24,5,3,0,24,12,12,750,22,250.0
4,1test,0,48,24,13,4,0,24,12,12,750,22,250.0
4,1test,1,48,24,11,4,0,24,12,12,750,22,250.0
4,1test,2,48,24,12,5,0,24,12,12,750,22,250.0
4,1test,3,48,24,8,3,0,24,12,12,750,22,250.0
4,1test,4,48,24,12,9,0,24,12,12,750,22,250.0
4,1test,5,48,24,4,3,0,24,12,12,750,22,250.0
5,0train,0,48,24,7,4,0,24,12,12,750,22,250.0
5,0train,1,48,24,2,1,0,24,12,12,750,22,250.0
5,0train,2,48,24,2,2,0,24,12,12,750,22,250.0
5,0train,3,48,24,7,4,0,24,12,12,750,22,250.0
5,0train,4,48,24,6,4,0,24,12,12,750,22,250.0
5,0train,5,48,24,2,0,0,24,12,12,750,22,250.0
5,1test,0,48,24,6,4,0,24,12,12,750,22,250.0
5,1test,1,48,24,3,3,0,24,12,12,750,22,250.0
5,1test,2,48,24,1,1,0,24,12,12,750,22,250.0
5,1test,3,48,24,0,0,0,24,12,12,750,22,250.0
5,1test,4,48,24,2,1,0,24,12,12,750,22,250.0
5,1test,5,48,24,0,0,0,24,12,12,750,22,250.0
6,0train,0,48,24,5,2,0,24,12,12,750,22,250.0
6,0train,1,48,24,15,7,0,24,12,12,750,22,250.0
6,0train,2,48,24,13,4,0,24,12,12,750,22,250.0
6,0train,3,48,24,10,6,0,24,12,12,750,22,250.0
6,0train,4,48,24,7,3,0,24,12,12,750,22,250.0
6,0train,5,48,24,19,9,0,24,12,12,750,22,250.0
6,1test,0,48,24,8,3,0,24,12,12,750,22,250.0
6,1test,1,48,24,20,9,0,24,12,12,750,22,250.0
6,1test,2,48,24,22,10,0,24,12,12,750,22,250.0
6,1test,3,48,24,5,4,0,24,12,12,750,22,250.0
6,1test,4,48,24,14,8,0,24,12,12,750,22,250.0
6,1test,5,48,24,4,2,0,24,12,12,750,22,250.0
7,0train,0,48,24,3,1,0,24,12,12,750,22,250.0
7,0train,1,48,24,4,2,0,24,12,12,750,22,250.0
7,0train,2,48,24,4,3,0,24,12,12,750,22,250.0
7,0train,3,48,24,4,3,0,24,12,12,750,22,250.0
7,0train,4,48,24,2,2,0,24,12,12,750,22,250.0
7,0train,5,48,24,0,0,0,24,12,12,750,22,250.0
7,1test,0,48,24,1,0,0,24,12,12,750,22,250.0
7,1test,1,48,24,3,0,0,24,12,12,750,22,250.0
7,1test,2,48,24,1,0,0,24,12,12,750,22,250.0
7,1test,3,48,24,3,3,0,24,12,12,750,22,250.0
7,1test,4,48,24,2,1,0,24,12,12,750,22,250.0
7,1test,5,48,24,1,0,0,24,12,12,750,22,250.0
8,0train,0,48,24,5,3,0,24,12,12,750,22,250.0
8,0train,1,48,24,3,2,0,24,12,12,750,22,250.0
8,0train,2,48,24,5,3,0,24,12,12,750,22,250.0
8,0train,3,48,24,5,2,0,24,12,12,750,22,250.0
8,0train,4,48,24,3,1,0,24,12,12,750,22,250.0
8,0train,5,48,24,3,1,0,24,12,12,750,22,250.0
8,1test,0,48,24,3,1,0,24,12,12,750,22,250.0
8,1test,1,48,24,3,1,0,24,12,12,750,22,250.0
8,1test,2,48,24,1,0,0,24,12,12,750,22,250.0
8,1test,3,48,24,3,2,0,24,12,12,750,22,250.0
8,1test,4,48,24,1,1,0,24,12,12,750,22,250.0
8,1test,5,48,24,6,5,0,24,12,12,750,22,250.0
9,0train,0,48,24,11,4,0,24,12,12,750,22,250.0
9,0train,1,48,24,11,5,0,24,12,12,750,22,250.0
9,0train,2,48,24,7,6,0,24,12,12,750,22,250.0
9,0train,3,48,24,6,2,0,24,12,12,750,22,250.0
9,0train,4,48,24,10,7,0,24,12,12,750,22,250.0
9,0train,5,48,24,6,4,0,24,12,12,750,22,250.0
9,1test,0,48,24,3,2,0,24,12,12,750,22,250.0
9,1test,1,48,24,1,1,0,24,12,12,750,22,250.0
9,1test,2,48,24,5,2,0,24,12,12,750,22,250.0
9,1test,3,48,24,5,2,0,24,12,12,750,22,250.0
9,1test,4,48,24,5,4,0,24,12,12,750,22,250.0
9,1test,5,48,24,5,3,0,24,12,12,750,22,250.0
