fold,stage,inner_fold,seed,subject,role,n_trials,n_used_for_fit,n_excluded_from_fit,n_used_for_validation,epochs_trained
loso_s3,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s3,inner,3.0,20260923,3,outer_test_excluded,576,0,0,0,40
loso_s3,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s3,inner,3.0,20260923,5,train,576,576,0,0,40
loso_s3,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s3,inner,3.0,20260923,7,validation,576,0,0,576,40
loso_s3,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s3,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,3,outer_test_excluded,576,0,0,0,40
loso_s3,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,7,train,576,576,0,0,40
loso_s3,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s3,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s4,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s4,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s4,inner,1.0,20260923,3,train,576,576,0,0,40
loso_s4,inner,1.0,20260923,4,outer_test_excluded,576,0,0,0,40
loso_s4,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s4,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s4,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s4,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s4,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s4,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s4,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s4,inner,2.0,20260923,3,validation,576,0,0,576,40
loso_s4,inner,2.0,20260923,4,outer_test_excluded,576,0,0,0,40
loso_s4,inner,2.0,20260923,5,validation,576,0,0,576,40
loso_s4,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s4,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s4,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s4,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s4,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s4,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s4,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s4,inner,3.0,20260923,4,outer_test_excluded,576,0,0,0,40
loso_s4,inner,3.0,20260923,5,train,576,576,0,0,40
loso_s4,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s4,inner,3.0,20260923,7,validation,576,0,0,576,40
loso_s4,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s4,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,4,outer_test_excluded,576,0,0,0,40
loso_s4,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,7,train,576,576,0,0,40
loso_s4,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s4,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s5,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s5,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s5,inner,1.0,20260923,3,train,576,576,0,0,40
loso_s5,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s5,inner,1.0,20260923,5,outer_test_excluded,576,0,0,0,40
loso_s5,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s5,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s5,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s5,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s5,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s5,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s5,inner,2.0,20260923,3,validation,576,0,0,576,40
loso_s5,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s5,inner,2.0,20260923,5,outer_test_excluded,576,0,0,0,40
loso_s5,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s5,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s5,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s5,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s5,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s5,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s5,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s5,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s5,inner,3.0,20260923,5,outer_test_excluded,576,0,0,0,40
loso_s5,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s5,inner,3.0,20260923,7,validation,576,0,0,576,40
loso_s5,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s5,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,5,outer_test_excluded,576,0,0,0,40
loso_s5,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,7,train,576,576,0,0,40
loso_s5,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s5,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s6,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s6,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s6,inner,1.0,20260923,3,train,576,576,0,0,40
loso_s6,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s6,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s6,inner,1.0,20260923,6,outer_test_excluded,576,0,0,0,40
loso_s6,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s6,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s6,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s6,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s6,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s6,inner,2.0,20260923,3,validation,576,0,0,576,40
loso_s6,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s6,inner,2.0,20260923,5,train,576,576,0,0,40
loso_s6,inner,2.0,20260923,6,outer_test_excluded,576,0,0,0,40
loso_s6,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s6,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s6,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s6,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s6,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s6,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s6,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s6,inner,3.0,20260923,5,validation,576,0,0,576,40
loso_s6,inner,3.0,20260923,6,outer_test_excluded,576,0,0,0,40
loso_s6,inner,3.0,20260923,7,validation,576,0,0,576,40
loso_s6,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s6,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,6,outer_test_excluded,576,0,0,0,40
loso_s6,inner,4.0,20260923,7,train,576,576,0,0,40
loso_s6,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s6,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s7,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s7,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s7,inner,1.0,20260923,3,train,576,576,0,0,40
loso_s7,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s7,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s7,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s7,inner,1.0,20260923,7,outer_test_excluded,576,0,0,0,40
loso_s7,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s7,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s7,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s7,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s7,inner,2.0,20260923,3,validation,576,0,0,576,40
loso_s7,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s7,inner,2.0,20260923,5,train,576,576,0,0,40
loso_s7,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s7,inner,2.0,20260923,7,outer_test_excluded,576,0,0,0,40
loso_s7,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s7,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s7,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s7,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s7,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s7,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s7,inner,3.0,20260923,5,validation,576,0,0,576,40
loso_s7,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s7,inner,3.0,20260923,7,outer_test_excluded,576,0,0,0,40
loso_s7,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s7,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s7,inner,4.0,20260923,7,outer_test_excluded,576,0,0,0,40
loso_s7,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s7,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s8,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s8,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s8,inner,1.0,20260923,3,train,576,576,0,0,40
loso_s8,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s8,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s8,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s8,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s8,inner,1.0,20260923,8,outer_test_excluded,576,0,0,0,40
loso_s8,inner,1.0,20260923,9,train,576,576,0,0,40
loso_s8,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s8,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s8,inner,2.0,20260923,3,validation,576,0,0,576,40
loso_s8,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s8,inner,2.0,20260923,5,train,576,576,0,0,40
loso_s8,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s8,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s8,inner,2.0,20260923,8,outer_test_excluded,576,0,0,0,40
loso_s8,inner,2.0,20260923,9,train,576,576,0,0,40
loso_s8,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s8,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s8,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s8,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s8,inner,3.0,20260923,5,validation,576,0,0,576,40
loso_s8,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s8,inner,3.0,20260923,7,train,576,576,0,0,40
loso_s8,inner,3.0,20260923,8,outer_test_excluded,576,0,0,0,40
loso_s8,inner,3.0,20260923,9,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s8,inner,4.0,20260923,7,validation,576,0,0,576,40
loso_s8,inner,4.0,20260923,8,outer_test_excluded,576,0,0,0,40
loso_s8,inner,4.0,20260923,9,validation,576,0,0,576,40
loso_s9,inner,1.0,20260923,1,validation,576,0,0,576,40
loso_s9,inner,1.0,20260923,2,validation,576,0,0,576,40
loso_s9,inner,1.0,20260923,3,train,576,576,0,0,40
loso_s9,inner,1.0,20260923,4,train,576,576,0,0,40
loso_s9,inner,1.0,20260923,5,train,576,576,0,0,40
loso_s9,inner,1.0,20260923,6,train,576,576,0,0,40
loso_s9,inner,1.0,20260923,7,train,576,576,0,0,40
loso_s9,inner,1.0,20260923,8,train,576,576,0,0,40
loso_s9,inner,1.0,20260923,9,outer_test_excluded,576,0,0,0,40
loso_s9,inner,2.0,20260923,1,train,576,576,0,0,40
loso_s9,inner,2.0,20260923,2,train,576,576,0,0,40
loso_s9,inner,2.0,20260923,3,validation,576,0,0,576,40
loso_s9,inner,2.0,20260923,4,validation,576,0,0,576,40
loso_s9,inner,2.0,20260923,5,train,576,576,0,0,40
loso_s9,inner,2.0,20260923,6,train,576,576,0,0,40
loso_s9,inner,2.0,20260923,7,train,576,576,0,0,40
loso_s9,inner,2.0,20260923,8,train,576,576,0,0,40
loso_s9,inner,2.0,20260923,9,outer_test_excluded,576,0,0,0,40
loso_s9,inner,3.0,20260923,1,train,576,576,0,0,40
loso_s9,inner,3.0,20260923,2,train,576,576,0,0,40
loso_s9,inner,3.0,20260923,3,train,576,576,0,0,40
loso_s9,inner,3.0,20260923,4,train,576,576,0,0,40
loso_s9,inner,3.0,20260923,5,validation,576,0,0,576,40
loso_s9,inner,3.0,20260923,6,validation,576,0,0,576,40
loso_s9,inner,3.0,20260923,7,train,576,576,0,0,40
loso_s9,inner,3.0,20260923,8,train,576,576,0,0,40
loso_s9,inner,3.0,20260923,9,outer_test_excluded,576,0,0,0,40
loso_s9,inner,4.0,20260923,1,train,576,576,0,0,40
loso_s9,inner,4.0,20260923,2,train,576,576,0,0,40
loso_s9,inner,4.0,20260923,3,train,576,576,0,0,40
loso_s9,inner,4.0,20260923,4,train,576,576,0,0,40
loso_s9,inner,4.0,20260923,5,train,576,576,0,0,40
loso_s9,inner,4.0,20260923,6,train,576,576,0,0,40
loso_s9,inner,4.0,20260923,7,validation,576,0,0,576,40
loso_s9,inner,4.0,20260923,8,validation,576,0,0,576,40
loso_s9,inner,4.0,20260923,9,outer_test_excluded,576,0,0,0,40
loso_s1,full,,20260924,1,test,576,0,0,0,25
loso_s1,full,,20260924,2,train,576,576,0,0,25
loso_s1,full,,20260924,3,train,576,576,0,0,25
loso_s1,full,,20260924,4,train,576,576,0,0,25
loso_s1,full,,20260924,5,train,576,576,0,0,25
loso_s1,full,,20260924,6,train,576,576,0,0,25
loso_s1,full,,20260924,7,train,576,576,0,0,25
loso_s1,full,,20260924,8,train,576,576,0,0,25
loso_s1,full,,20260924,9,train,576,576,0,0,25
loso_s1,full,,20260925,1,test,576,0,0,0,25
loso_s1,full,,20260925,2,train,576,576,0,0,25
loso_s1,full,,20260925,3,train,576,576,0,0,25
loso_s1,full,,20260925,4,train,576,576,0,0,25
loso_s1,full,,20260925,5,train,576,576,0,0,25
loso_s1,full,,20260925,6,train,576,576,0,0,25
loso_s1,full,,20260925,7,train,576,576,0,0,25
loso_s1,full,,20260925,8,train,576,576,0,0,25
loso_s1,full,,20260925,9,train,576,576,0,0,25
loso_s1,full,,20260926,1,test,576,0,0,0,25
loso_s1,full,,20260926,2,train,576,576,0,0,25
loso_s1,full,,20260926,3,train,576,576,0,0,25
loso_s1,full,,20260926,4,train,576,576,0,0,25
loso_s1,full,,20260926,5,train,576,576,0,0,25
loso_s1,full,,20260926,6,train,576,576,0,0,25
loso_s1,full,,20260926,7,train,576,576,0,0,25
loso_s1,full,,20260926,8,train,576,576,0,0,25
loso_s1,full,,20260926,9,train,576,576,0,0,25
loso_s2,full,,20260924,1,train,576,576,0,0,17
loso_s2,full,,20260924,2,test,576,0,0,0,17
loso_s2,full,,20260924,3,train,576,576,0,0,17
loso_s2,full,,20260924,4,train,576,576,0,0,17
loso_s2,full,,20260924,5,train,576,576,0,0,17
loso_s2,full,,20260924,6,train,576,576,0,0,17
loso_s2,full,,20260924,7,train,576,576,0,0,17
loso_s2,full,,20260924,8,train,576,576,0,0,17
loso_s2,full,,20260924,9,train,576,576,0,0,17
loso_s2,full,,20260925,1,train,576,576,0,0,17
loso_s2,full,,20260925,2,test,576,0,0,0,17
loso_s2,full,,20260925,3,train,576,576,0,0,17
loso_s2,full,,20260925,4,train,576,576,0,0,17
loso_s2,full,,20260925,5,train,576,576,0,0,17
loso_s2,full,,20260925,6,train,576,576,0,0,17
loso_s2,full,,20260925,7,train,576,576,0,0,17
loso_s2,full,,20260925,8,train,576,576,0,0,17
loso_s2,full,,20260925,9,train,576,576,0,0,17
loso_s2,full,,20260926,1,train,576,576,0,0,17
loso_s2,full,,20260926,2,test,576,0,0,0,17
loso_s2,full,,20260926,3,train,576,576,0,0,17
loso_s2,full,,20260926,4,train,576,576,0,0,17
loso_s2,full,,20260926,5,train,576,576,0,0,17
loso_s2,full,,20260926,6,train,576,576,0,0,17
loso_s2,full,,20260926,7,train,576,576,0,0,17
loso_s2,full,,20260926,8,train,576,576,0,0,17
loso_s2,full,,20260926,9,train,576,576,0,0,17
loso_s3,full,,20260924,1,train,576,576,0,0,17
loso_s3,full,,20260924,2,train,576,576,0,0,17
loso_s3,full,,20260924,3,test,576,0,0,0,17
loso_s3,full,,20260924,4,train,576,576,0,0,17
loso_s3,full,,20260924,5,train,576,576,0,0,17
loso_s3,full,,20260924,6,train,576,576,0,0,17
loso_s3,full,,20260924,7,train,576,576,0,0,17
loso_s3,full,,20260924,8,train,576,576,0,0,17
loso_s3,full,,20260924,9,train,576,576,0,0,17
loso_s3,full,,20260925,1,train,576,576,0,0,17
loso_s3,full,,20260925,2,train,576,576,0,0,17
loso_s3,full,,20260925,3,test,576,0,0,0,17
loso_s3,full,,20260925,4,train,576,576,0,0,17
loso_s3,full,,20260925,5,train,576,576,0,0,17
loso_s3,full,,20260925,6,train,576,576,0,0,17
loso_s3,full,,20260925,7,train,576,576,0,0,17
loso_s3,full,,20260925,8,train,576,576,0,0,17
loso_s3,full,,20260925,9,train,576,576,0,0,17
loso_s3,full,,20260926,1,train,576,576,0,0,17
loso_s3,full,,20260926,2,train,576,576,0,0,17
loso_s3,full,,20260926,3,test,576,0,0,0,17
loso_s3,full,,20260926,4,train,576,576,0,0,17
loso_s3,full,,20260926,5,train,576,576,0,0,17
loso_s3,full,,20260926,6,train,576,576,0,0,17
loso_s3,full,,20260926,7,train,576,576,0,0,17
loso_s3,full,,20260926,8,train,576,576,0,0,17
loso_s3,full,,20260926,9,train,576,576,0,0,17
loso_s4,full,,20260924,1,train,576,576,0,0,16
loso_s4,full,,20260924,2,train,576,576,0,0,16
loso_s4,full,,20260924,3,train,576,576,0,0,16
loso_s4,full,,20260924,4,test,576,0,0,0,16
loso_s4,full,,20260924,5,train,576,576,0,0,16
loso_s4,full,,20260924,6,train,576,576,0,0,16
loso_s4,full,,20260924,7,train,576,576,0,0,16
loso_s4,full,,20260924,8,train,576,576,0,0,16
loso_s4,full,,20260924,9,train,576,576,0,0,16
loso_s4,full,,20260925,1,train,576,576,0,0,16
loso_s4,full,,20260925,2,train,576,576,0,0,16
loso_s4,full,,20260925,3,train,576,576,0,0,16
loso_s4,full,,20260925,4,test,576,0,0,0,16
loso_s4,full,,20260925,5,train,576,576,0,0,16
loso_s4,full,,20260925,6,train,576,576,0,0,16
loso_s4,full,,20260925,7,train,576,576,0,0,16
loso_s4,full,,20260925,8,train,576,576,0,0,16
loso_s4,full,,20260925,9,train,576,576,0,0,16
loso_s4,full,,20260926,1,train,576,576,0,0,16
loso_s4,full,,20260926,2,train,576,576,0,0,16
loso_s4,full,,20260926,3,train,576,576,0,0,16
loso_s4,full,,20260926,4,test,576,0,0,0,16
loso_s4,full,,20260926,5,train,576,576,0,0,16
loso_s4,full,,20260926,6,train,576,576,0,0,16
loso_s4,full,,20260926,7,train,576,576,0,0,16
loso_s4,full,,20260926,8,train,576,576,0,0,16
loso_s4,full,,20260926,9,train,576,576,0,0,16
loso_s5,full,,20260924,1,train,576,576,0,0,24
loso_s5,full,,20260924,2,train,576,576,0,0,24
loso_s5,full,,20260924,3,train,576,576,0,0,24
loso_s5,full,,20260924,4,train,576,576,0,0,24
loso_s5,full,,20260924,5,test,576,0,0,0,24
loso_s5,full,,20260924,6,train,576,576,0,0,24
loso_s5,full,,20260924,7,train,576,576,0,0,24
loso_s5,full,,20260924,8,train,576,576,0,0,24
loso_s5,full,,20260924,9,train,576,576,0,0,24
loso_s5,full,,20260925,1,train,576,576,0,0,24
loso_s5,full,,20260925,2,train,576,576,0,0,24
loso_s5,full,,20260925,3,train,576,576,0,0,24
loso_s5,full,,20260925,4,train,576,576,0,0,24
loso_s5,full,,20260925,5,test,576,0,0,0,24
loso_s5,full,,20260925,6,train,576,576,0,0,24
loso_s5,full,,20260925,7,train,576,576,0,0,24
loso_s5,full,,20260925,8,train,576,576,0,0,24
loso_s5,full,,20260925,9,train,576,576,0,0,24
loso_s5,full,,20260926,1,train,576,576,0,0,24
loso_s5,full,,20260926,2,train,576,576,0,0,24
loso_s5,full,,20260926,3,train,576,576,0,0,24
loso_s5,full,,20260926,4,train,576,576,0,0,24
