sample_id,subject,label,fold,role
s01_0train_r5_t04,1,4,loso_s6,train
s01_0train_r5_t05,1,4,loso_s6,train
s01_0train_r5_t06,1,3,loso_s6,train
s01_0train_r5_t07,1,4,loso_s6,train
s01_0train_r5_t08,1,4,loso_s6,train
s01_0train_r5_t09,1,3,loso_s6,train
s01_0train_r5_t10,1,2,loso_s6,train
s01_0train_r5_t11,1,4,loso_s6,train
s01_0train_r5_t12,1,3,loso_s6,train
s01_0train_r5_t13,1,1,loso_s6,train
s01_0train_r5_t14,1,2,loso_s6,train
s01_0train_r5_t15,1,2,loso_s6,train
s01_0train_r5_t16,1,2,loso_s6,train
s01_0train_r5_t17,1,3,loso_s6,train
s01_0train_r5_t18,1,2,loso_s6,train
s01_0train_r5_t19,1,4,loso_s6,train
s01_0train_r5_t20,1,3,loso_s6,train
s01_0train_r5_t21,1,4,loso_s6,train
s01_0train_r5_t22,1,2,loso_s6,train
s01_0train_r5_t23,1,3,loso_s6,train
s01_0train_r5_t24,1,1,loso_s6,train
s01_0train_r5_t25,1,4,loso_s6,train
s01_0train_r5_t26,1,1,loso_s6,train
s01_0train_r5_t27,1,3,loso_s6,train
s01_0train_r5_t28,1,4,loso_s6,train
s01_0train_r5_t29,1,1,loso_s6,train
s01_0train_r5_t30,1,3,loso_s6,train
s01_0train_r5_t31,1,1,loso_s6,train
s01_0train_r5_t32,1,2,loso_s6,train
s01_0train_r5_t33,1,2,loso_s6,train
s01_0train_r5_t34,1,1,loso_s6,train
s01_0train_r5_t35,1,4,loso_s6,train
s01_0train_r5_t36,1,1,loso_s6,train
s01_0train_r5_t37,1,4,loso_s6,train
s01_0train_r5_t38,1,3,loso_s6,train
s01_0train_r5_t39,1,3,loso_s6,train
s01_0train_r5_t40,1,1,loso_s6,train
s01_0train_r5_t41,1,3,loso_s6,train
s01_0train_r5_t42,1,2,loso_s6,train
s01_0train_r5_t43,1,2,loso_s6,train
s01_0train_r5_t44,1,1,loso_s6,train
s01_0train_r5_t45,1,3,loso_s6,train
s01_0train_r5_t46,1,1,loso_s6,train
s01_0train_r5_t47,1,2,loso_s6,train
s01_0train_r5_t48,1,1,loso_s6,train
s01_1test_r0_t01,1,1,loso_s6,train
s01_1test_r0_t02,1,2,loso_s6,train
s01_1test_r0_t03,1,2,loso_s6,train
s01_1test_r0_t04,1,1,loso_s6,train
s01_1test_r0_t05,1,2,loso_s6,train
s01_1test_r0_t06,1,1,loso_s6,train
s01_1test_r0_t07,1,2,loso_s6,train
s01_1test_r0_t08,1,3,loso_s6,train
s01_1test_r0_t09,1,2,loso_s6,train
s01_1test_r0_t10,1,4,loso_s6,train
s01_1test_r0_t11,1,1,loso_s6,train
s01_1test_r0_t12,1,3,loso_s6,train
s01_1test_r0_t13,1,2,loso_s6,train
s01_1test_r0_t14,1,1,loso_s6,train
s01_1test_r0_t15,1,4,loso_s6,train
s01_1test_r0_t16,1,4,loso_s6,train
s01_1test_r0_t17,1,4,loso_s6,train
s01_1test_r0_t18,1,4,loso_s6,train
s01_1test_r0_t19,1,4,loso_s6,train
s01_1test_r0_t20,1,1,loso_s6,train
s01_1test_r0_t21,1,3,loso_s6,train
s01_1test_r0_t22,1,2,loso_s6,train
s01_1test_r0_t23,1,1,loso_s6,train
s01_1test_r0_t24,1,1,loso_s6,train
s01_1test_r0_t25,1,3,loso_s6,train
s01_1test_r0_t26,1,4,loso_s6,train
s01_1test_r0_t27,1,1,loso_s6,train
s01_1test_r0_t28,1,3,loso_s6,train
s01_1test_r0_t29,1,3,loso_s6,train
s01_1test_r0_t30,1,3,loso_s6,train
s01_1test_r0_t31,1,1,loso_s6,train
s01_1test_r0_t32,1,2,loso_s6,train
s01_1test_r0_t33,1,1,loso_s6,train
s01_1test_r0_t34,1,2,loso_s6,train
s01_1test_r0_t35,1,2,loso_s6,train
s01_1test_r0_t36,1,1,loso_s6,train
s01_1test_r0_t37,1,2,loso_s6,train
s01_1test_r0_t38,1,3,loso_s6,train
s01_1test_r0_t39,1,2,loso_s6,train
s01_1test_r0_t40,1,3,loso_s6,train
s01_1test_r0_t41,1,3,loso_s6,train
s01_1test_r0_t42,1,4,loso_s6,train
s01_1test_r0_t43,1,3,loso_s6,train
s01_1test_r0_t44,1,3,loso_s6,train
s01_1test_r0_t45,1,4,loso_s6,train
s01_1test_r0_t46,1,4,loso_s6,train
s01_1test_r0_t47,1,4,loso_s6,train
s01_1test_r0_t48,1,4,loso_s6,train
s01_1test_r1_t01,1,4,loso_s6,train
s01_1test_r1_t02,1,3,loso_s6,train
s01_1test_r1_t03,1,2,loso_s6,train
s01_1test_r1_t04,1,1,loso_s6,train
s01_1test_r1_t05,1,1,loso_s6,train
s01_1test_r1_t06,1,2,loso_s6,train
s01_1test_r1_t07,1,3,loso_s6,train
s01_1test_r1_t08,1,4,loso_s6,train
s01_1test_r1_t09,1,2,loso_s6,train
s01_1test_r1_t10,1,3,loso_s6,train
s01_1test_r1_t11,1,1,loso_s6,train
s01_1test_r1_t12,1,1,loso_s6,train
s01_1test_r1_t13,1,1,loso_s6,train
s01_1test_r1_t14,1,4,loso_s6,train
s01_1test_r1_t15,1,2,loso_s6,train
s01_1test_r1_t16,1,2,loso_s6,train
s01_1test_r1_t17,1,1,loso_s6,train
s01_1test_r1_t18,1,1,loso_s6,train
s01_1test_r1_t19,1,3,loso_s6,train
s01_1test_r1_t20,1,1,loso_s6,train
s01_1test_r1_t21,1,2,loso_s6,train
s01_1test_r1_t22,1,4,loso_s6,train
s01_1test_r1_t23,1,4,loso_s6,train
s01_1test_r1_t24,1,3,loso_s6,train
s01_1test_r1_t25,1,1,loso_s6,train
s01_1test_r1_t26,1,4,loso_s6,train
s01_1test_r1_t27,1,4,loso_s6,train
s01_1test_r1_t28,1,2,loso_s6,train
s01_1test_r1_t29,1,4,loso_s6,train
s01_1test_r1_t30,1,4,loso_s6,train
s01_1test_r1_t31,1,2,loso_s6,train
s01_1test_r1_t32,1,1,loso_s6,train
s01_1test_r1_t33,1,2,loso_s6,train
s01_1test_r1_t34,1,3,loso_s6,train
s01_1test_r1_t35,1,3,loso_s6,train
s01_1test_r1_t36,1,3,loso_s6,train
s01_1test_r1_t37,1,4,loso_s6,train
s01_1test_r1_t38,1,3,loso_s6,train
s01_1test_r1_t39,1,1,loso_s6,train
s01_1test_r1_t40,1,4,loso_s6,train
s01_1test_r1_t41,1,2,loso_s6,train
s01_1test_r1_t42,1,3,loso_s6,train
s01_1test_r1_t43,1,2,loso_s6,train
s01_1test_r1_t44,1,3,loso_s6,train
s01_1test_r1_t45,1,4,loso_s6,train
s01_1test_r1_t46,1,2,loso_s6,train
s01_1test_r1_t47,1,3,loso_s6,train
s01_1test_r1_t48,1,1,loso_s6,train
s01_1test_r2_t01,1,1,loso_s6,train
s01_1test_r2_t02,1,1,loso_s6,train
s01_1test_r2_t03,1,4,loso_s6,train
s01_1test_r2_t04,1,2,loso_s6,train
s01_1test_r2_t05,1,1,loso_s6,train
s01_1test_r2_t06,1,3,loso_s6,train
s01_1test_r2_t07,1,1,loso_s6,train
s01_1test_r2_t08,1,3,loso_s6,train
s01_1test_r2_t09,1,2,loso_s6,train
s01_1test_r2_t10,1,4,loso_s6,train
s01_1test_r2_t11,1,1,loso_s6,train
s01_1test_r2_t12,1,3,loso_s6,train
s01_1test_r2_t13,1,3,loso_s6,train
s01_1test_r2_t14,1,1,loso_s6,train
s01_1test_r2_t15,1,3,loso_s6,train
s01_1test_r2_t16,1,2,loso_s6,train
s01_1test_r2_t17,1,4,loso_s6,train
s01_1test_r2_t18,1,4,loso_s6,train
s01_1test_r2_t19,1,4,loso_s6,train
s01_1test_r2_t20,1,3,loso_s6,train
s01_1test_r2_t21,1,1,loso_s6,train
s01_1test_r2_t22,1,4,loso_s6,train
s01_1test_r2_t23,1,2,loso_s6,train
s01_1test_r2_t24,1,4,loso_s6,train
s01_1test_r2_t25,1,2,loso_s6,train
s01_1test_r2_t26,1,1,loso_s6,train
s01_1test_r2_t27,1,3,loso_s6,train
s01_1test_r2_t28,1,2,loso_s6,train
s01_1test_r2_t29,1,1,loso_s6,train
s01_1test_r2_t30,1,3,loso_s6,train
s01_1test_r2_t31,1,3,loso_s6,train
s01_1test_r2_t32,1,1,loso_s6,train
s01_1test_r2_t33,1,3,loso_s6,train
s01_1test_r2_t34,1,4,loso_s6,train
s01_1test_r2_t35,1,4,loso_s6,train
s01_1test_r2_t36,1,2,loso_s6,train
s01_1test_r2_t37,1,1,loso_s6,train
s01_1test_r2_t38,1,2,loso_s6,train
s01_1test_r2_t39,1,4,loso_s6,train
s01_1test_r2_t40,1,2,loso_s6,train
s01_1test_r2_t41,1,4,loso_s6,train
s01_1test_r2_t42,1,3,loso_s6,train
s01_1test_r2_t43,1,2,loso_s6,train
s01_1test_r2_t44,1,2,loso_s6,train
s01_1test_r2_t45,1,2,loso_s6,train
s01_1test_r2_t46,1,3,loso_s6,train
s01_1test_r2_t47,1,4,loso_s6,train
s01_1test_r2_t48,1,1,loso_s6,train
s01_1test_r3_t01,1,2,loso_s6,train
s01_1test_r3_t02,1,4,loso_s6,train
s01_1test_r3_t03,1,1,loso_s6,train
s01_1test_r3_t04,1,3,loso_s6,train
s01_1test_r3_t05,1,3,loso_s6,train
s01_1test_r3_t06,1,4,loso_s6,train
s01_1test_r3_t07,1,1,loso_s6,train
s01_1test_r3_t08,1,1,loso_s6,train
s01_1test_r3_t09,1,3,loso_s6,train
s01_1test_r3_t10,1,2,loso_s6,train
s01_1test_r3_t11,1,4,loso_s6,train
s01_1test_r3_t12,1,4,loso_s6,train
s01_1test_r3_t13,1,4,loso_s6,train
s01_1test_r3_t14,1,2,loso_s6,train
s01_1test_r3_t15,1,1,loso_s6,train
s01_1test_r3_t16,1,3,loso_s6,train
s01_1test_r3_t17,1,2,loso_s6,train
s01_1test_r3_t18,1,4,loso_s6,train
s01_1test_r3_t19,1,1,loso_s6,train
s01_1test_r3_t20,1,4,loso_s6,train
s01_1test_r3_t21,1,3,loso_s6,train
s01_1test_r3_t22,1,2,loso_s6,train
s01_1test_r3_t23,1,4,loso_s6,train
s01_1test_r3_t24,1,4,loso_s6,train
s01_1test_r3_t25,1,1,loso_s6,train
s01_1test_r3_t26,1,2,loso_s6,train
s01_1test_r3_t27,1,2,loso_s6,train
s01_1test_r3_t28,1,3,loso_s6,train
s01_1test_r3_t29,1,4,loso_s6,train
s01_1test_r3_t30,1,2,loso_s6,train
s01_1test_r3_t31,1,1,loso_s6,train
s01_1test_r3_t32,1,1,loso_s6,train
s01_1test_r3_t33,1,4,loso_s6,train
s01_1test_r3_t34,1,2,loso_s6,train
s01_1test_r3_t35,1,1,loso_s6,train
s01_1test_r3_t36,1,3,loso_s6,train
s01_1test_r3_t37,1,2,loso_s6,train
s01_1test_r3_t38,1,2,loso_s6,train
s01_1test_r3_t39,1,3,loso_s6,train
s01_1test_r3_t40,1,1,loso_s6,train
s01_1test_r3_t41,1,4,loso_s6,train
s01_1test_r3_t42,1,3,loso_s6,train
s01_1test_r3_t43,1,3,loso_s6,train
s01_1test_r3_t44,1,3,loso_s6,train
s01_1test_r3_t45,1,3,loso_s6,train
s01_1test_r3_t46,1,1,loso_s6,train
s01_1test_r3_t47,1,2,loso_s6,train
s01_1test_r3_t48,1,1,loso_s6,train
s01_1test_r4_t01,1,2,loso_s6,train
s01_1test_r4_t02,1,1,loso_s6,train
s01_1test_r4_t03,1,1,loso_s6,train
s01_1test_r4_t04,1,3,loso_s6,train
s01_1test_r4_t05,1,3,loso_s6,train
s01_1test_r4_t06,1,2,loso_s6,train
s01_1test_r4_t07,1,3,loso_s6,train
s01_1test_r4_t08,1,4,loso_s6,train
s01_1test_r4_t09,1,1,loso_s6,train
s01_1test_r4_t10,1,4,loso_s6,train
s01_1test_r4_t11,1,1,loso_s6,train
s01_1test_r4_t12,1,1,loso_s6,train
s01_1test_r4_t13,1,2,loso_s6,train
s01_1test_r4_t14,1,4,loso_s6,train
s01_1test_r4_t15,1,3,loso_s6,train
s01_1test_r4_t16,1,2,loso_s6,train
s01_1test_r4_t17,1,4,loso_s6,train
s01_1test_r4_t18,1,3,loso_s6,train
s01_1test_r4_t19,1,4,loso_s6,train
s01_1test_r4_t20,1,3,loso_s6,train
s01_1test_r4_t21,1,4,loso_s6,train
s01_1test_r4_t22,1,2,loso_s6,train
s01_1test_r4_t23,1,2,loso_s6,train
s01_1test_r4_t24,1,4,loso_s6,train
s01_1test_r4_t25,1,1,loso_s6,train
s01_1test_r4_t26,1,2,loso_s6,train
s01_1test_r4_t27,1,2,loso_s6,train
s01_1test_r4_t28,1,2,loso_s6,train
s01_1test_r4_t29,1,3,loso_s6,train
s01_1test_r4_t30,1,4,loso_s6,train
s01_1test_r4_t31,1,1,loso_s6,train
s01_1test_r4_t32,1,4,loso_s6,train
s01_1test_r4_t33,1,1,loso_s6,train
s01_1test_r4_t34,1,3,loso_s6,train
s01_1test_r4_t35,1,1,loso_s6,train
s01_1test_r4_t36,1,4,loso_s6,train
s01_1test_r4_t37,1,1,loso_s6,train
s01_1test_r4_t38,1,3,loso_s6,train
s01_1test_r4_t39,1,1,loso_s6,train
s01_1test_r4_t40,1,2,loso_s6,train
s01_1test_r4_t41,1,3,loso_s6,train
s01_1test_r4_t42,1,3,loso_s6,train
s01_1test_r4_t43,1,4,loso_s6,train
s01_1test_r4_t44,1,1,loso_s6,train
s01_1test_r4_t45,1,2,loso_s6,train
s01_1test_r4_t46,1,4,loso_s6,train
s01_1test_r4_t47,1,2,loso_s6,train
s01_1test_r4_t48,1,3,loso_s6,train
s01_1test_r5_t01,1,3,loso_s6,train
s01_1test_r5_t02,1,1,loso_s6,train
s01_1test_r5_t03,1,4,loso_s6,train
s01_1test_r5_t04,1,2,loso_s6,train
s01_1test_r5_t05,1,4,loso_s6,train
s01_1test_r5_t06,1,1,loso_s6,train
s01_1test_r5_t07,1,1,loso_s6,train
s01_1test_r5_t08,1,3,loso_s6,train
s01_1test_r5_t09,1,3,loso_s6,train
s01_1test_r5_t10,1,2,loso_s6,train
s01_1test_r5_t11,1,4,loso_s6,train
s01_1test_r5_t12,1,2,loso_s6,train
s01_1test_r5_t13,1,2,loso_s6,train
s01_1test_r5_t14,1,1,loso_s6,train
s01_1test_r5_t15,1,2,loso_s6,train
s01_1test_r5_t16,1,4,loso_s6,train
s01_1test_r5_t17,1,4,loso_s6,train
s01_1test_r5_t18,1,2,loso_s6,train
s01_1test_r5_t19,1,2,loso_s6,train
s01_1test_r5_t20,1,2,loso_s6,train
s01_1test_r5_t21,1,2,loso_s6,train
s01_1test_r5_t22,1,4,loso_s6,train
s01_1test_r5_t23,1,4,loso_s6,train
s01_1test_r5_t24,1,3,loso_s6,train
s01_1test_r5_t25,1,4,loso_s6,train
s01_1test_r5_t26,1,1,loso_s6,train
s01_1test_r5_t27,1,2,loso_s6,train
s01_1test_r5_t28,1,3,loso_s6,train
s01_1test_r5_t29,1,2,loso_s6,train
s01_1test_r5_t30,1,1,loso_s6,train
s01_1test_r5_t31,1,4,loso_s6,train
s01_1test_r5_t32,1,1,loso_s6,train
s01_1test_r5_t33,1,4,loso_s6,train
s01_1test_r5_t34,1,1,loso_s6,train
s01_1test_r5_t35,1,1,loso_s6,train
s01_1test_r5_t36,1,1,loso_s6,train
s01_1test_r5_t37,1,1,loso_s6,train
s01_1test_r5_t38,1,3,loso_s6,train
s01_1test_r5_t39,1,3,loso_s6,train
s01_1test_r5_t40,1,4,loso_s6,train
s01_1test_r5_t41,1,2,loso_s6,train
s01_1test_r5_t42,1,3,loso_s6,train
s01_1test_r5_t43,1,3,loso_s6,train
s01_1test_r5_t44,1,3,loso_s6,train
s01_1test_r5_t45,1,4,loso_s6,train
s01_1test_r5_t46,1,3,loso_s6,train
s01_1test_r5_t47,1,1,loso_s6,train
s01_1test_r5_t48,1,3,loso_s6,train
s02_0train_r0_t01,2,1,loso_s6,train
s02_0train_r0_t02,2,2,loso_s6,train
s02_0train_r0_t03,2,2,loso_s6,train
s02_0train_r0_t04,2,1,loso_s6,train
s02_0train_r0_t05,2,2,loso_s6,train
s02_0train_r0_t06,2,1,loso_s6,train
